"model","batch"
"model_0","2020_01_12_batch_0"
"model_0","2020_01_14_batch_0"
"model_0","2020_01_15_batch_0"
"model_0B","2021_03_09_batch_0"
"model_0B","2021_03_11_batch_0"
"model_0B","2021_03_12_batch_0"
"model_1","2020_08_23_batch_0"
"model_1","2020_08_31_batch_0"
"model_1","2020_09_04_batch_0"
"model_2","2019_02_28_batch_0"
"model_2","2019_02_28_batch_1"
"model_2","2019_03_11_batch_0"
"model_2","2019_03_19_batch_0"
"model_2","2019_03_25_batch_0"
"model_2","2019_03_28_batch_0"
"model_2","2019_03_29_batch_0"
"model_2","2019_04_01_batch_0"
"model_2","2019_04_20_batch_0"
"model_2","2019_04_24_batch_0"
"model_2","2019_04_25_batch_0"
"model_2","2019_04_30_batch_0"
"model_2","2019_05_09_batch_0"
"model_2","2019_05_13_batch_0"
"model_2","2019_05_21_batch_0"
"model_2","2019_05_23_batch_0"
"model_2","2019_05_24_batch_0"
"model_2","2019_05_26_batch_0"
"model_2","2019_05_27_batch_0"
"model_2","2019_05_27_batch_1"
"model_2","2019_08_03_batch_0"
"model_2","2019_08_03_batch_2"
"model_2","2019_08_04_batch_0"
"model_2","2019_08_10_batch_0"
"model_2","2019_08_10_batch_1"
"model_2","2019_08_10_batch_2"
"model_2","2019_08_11_batch_0"
"model_2","2019_08_12_batch_0"
