"Package","Version"
"abind","1.4-5"
"askpass","1.1"
"backports","1.4.1"
"base","4.1.3"
"base64enc","0.1-3"
"BH","1.78.0-0"
"bit","4.0.4"
"bit64","4.0.5"
"bitops","1.0-7"
"boot","1.3-28"
"box","1.1.0"
"brew","1.0-7"
"brio","1.1.3"
"broom","0.8.0"
"bslib","0.3.1"
"cachem","1.0.6"
"callr","3.7.0"
"car","3.0-12"
"carData","3.0-5"
"caret","6.0-92"
"cellranger","1.1.0"
"checkmate","2.1.0"
"class","7.3-20"
"classInt","0.4-3"
"cli","3.2.0"
"clipr","0.8.0"
"cluster","2.1.3"
"codetools","0.2-18"
"collections","0.3.5"
"colorspace","2.0-3"
"commonmark","1.8.0"
"compiler","4.1.3"
"conquer","1.3.0"
"corrplot","0.92"
"cowplot","1.1.1"
"cpp11","0.4.2"
"crayon","1.5.1"
"crosstalk","1.2.0"
"curl","4.3.2"
"cyclocomp","1.1.0"
"data.table","1.14.2"
"datasets","4.1.3"
"DBI","1.1.2"
"desc","1.4.1"
"deSolve","1.32"
"dichromat","2.0-0"
"diffobj","0.3.5"
"digest","0.6.29"
"doParallel","1.0.17"
"dotCall64","1.0-1"
"dplyr","1.0.8"
"e1071","1.7-9"
"ellipsis","0.3.2"
"evaluate","0.15"
"exactextractr","0.8.2"
"fansi","1.0.3"
"farver","2.1.0"
"fastmap","1.1.0"
"fields","13.3"
"FNN","1.1.3"
"fontawesome","0.2.2"
"forcats","0.5.1"
"foreach","1.5.2"
"foreign","0.8-82"
"fs","1.5.2"
"future","1.24.0"
"future.apply","1.8.1"
"gdalUtils","2.0.3.2"
"generics","0.1.2"
"geojsonsf","2.0.2"
"geometries","0.2.0"
"ggfan","0.1.3"
"ggmap","3.0.0"
"ggnewscale","0.4.7"
"ggplot2","3.3.5"
"ggpubr","0.4.0"
"ggrepel","0.9.1"
"ggsci","2.9"
"ggsignif","0.6.3"
"ggsn","0.5.0"
"ggspatial","1.1.5"
"globals","0.14.0"
"glue","1.6.2"
"gower","1.0.0"
"graphics","4.1.3"
"grDevices","4.1.3"
"grid","4.1.3"
"gridExtra","2.3"
"gstat","2.0-9"
"gtable","0.3.0"
"hardhat","0.2.0"
"here","1.0.1"
"hexbin","1.28.2"
"highr","0.9"
"hms","1.1.1"
"htmltools","0.5.2"
"htmlwidgets","1.5.4"
"httpuv","1.6.5"
"httr","1.4.2"
"inline","0.3.19"
"intervals","0.15.2"
"ipred","0.9-12"
"isoband","0.2.5"
"iterators","1.0.14"
"jpeg","0.1-9"
"jquerylib","0.1.4"
"jsonify","1.2.1"
"jsonlite","1.8.0"
"KernSmooth","2.23-20"
"knitr","1.38"
"labeling","0.4.2"
"languageserver","0.3.12"
"later","1.3.0"
"lattice","0.20-45"
"latticeExtra","0.6-29"
"lava","1.6.10"
"lazyeval","0.2.2"
"leafem","0.2.0"
"leafgl","0.1.1"
"leaflet","2.1.1"
"leaflet.providers","1.9.0"
"leafpop","0.1.0"
"leafsync","0.1.0"
"lifecycle","1.0.1"
"lintr","2.0.1"
"listenv","0.8.0"
"lme4","1.1-29"
"loo","2.5.1"
"lubridate","1.8.0"
"lwgeom","0.2-8"
"magrittr","2.0.3"
"maps","3.4.0"
"maptools","1.1-4"
"mapview","2.11.0"
"markdown","1.1"
"MASS","7.3-56"
"Matrix","1.4-1"
"MatrixModels","0.5-0"
"matrixStats","0.62.0"
"methods","4.1.3"
"mgcv","1.8-40"
"mime","0.12"
"minqa","1.2.4"
"ModelMetrics","1.2.2.2"
"munsell","0.5.0"
"nlme","3.1-157"
"nloptr","2.0.0"
"nnet","7.3-17"
"numDeriv","2016.8-1.1"
"openssl","2.0.0"
"parallel","4.1.3"
"parallelly","1.31.0"
"pbapply","1.5-0"
"pbkrtest","0.5.1"
"pillar","1.7.0"
"pkgbuild","1.3.1"
"pkgconfig","2.0.3"
"pkgload","1.2.4"
"plainview","0.2.0"
"plyr","1.8.7"
"png","0.1-7"
"polynom","1.4-1"
"praise","1.0.0"
"prettymapr","0.2.2"
"prettyunits","1.1.1"
"pROC","1.18.0"
"processx","3.5.3"
"prodlim","2019.11.13"
"progress","1.2.2"
"progressr","0.10.0"
"promises","1.2.0.1"
"proxy","0.4-26"
"ps","1.6.0"
"purrr","0.3.4"
"quantreg","5.88"
"R.cache","0.15.0"
"R.methodsS3","1.8.1"
"R.oo","1.24.0"
"R.utils","2.11.0"
"R6","2.5.1"
"rapidjsonr","1.2.0"
"rappdirs","0.3.3"
"raster","3.5-15"
"rasterVis","0.51.2"
"rayimage","0.6.2"
"rayshader","0.24.10"
"RColorBrewer","1.1-3"
"Rcpp","1.0.8.3"
"RcppArmadillo","0.11.0.0.0"
"RcppEigen","0.3.3.9.2"
"RcppParallel","5.1.5"
