"year","nPos","nNeg","nTotal","propPos","polySuffix","polyName"
2004,0,21,21,0,"mask_uga_grid_0","2004_mask_uga_grid_0"
2006,0,20,20,0,"mask_uga_grid_0","2006_mask_uga_grid_0"
2008,1,11,12,0.0833333333333333,"mask_uga_grid_0","2008_mask_uga_grid_0"
2010,1,15,16,0.0625,"mask_uga_grid_0","2010_mask_uga_grid_0"
2013,0,17,17,0,"mask_uga_grid_0","2013_mask_uga_grid_0"
2014,0,14,14,0,"mask_uga_grid_0","2014_mask_uga_grid_0"
2004,0,39,39,0,"mask_uga_grid_1","2004_mask_uga_grid_1"
2006,1,39,40,0.025,"mask_uga_grid_1","2006_mask_uga_grid_1"
2008,12,16,28,0.428571428571429,"mask_uga_grid_1","2008_mask_uga_grid_1"
2010,12,14,26,0.461538461538462,"mask_uga_grid_1","2010_mask_uga_grid_1"
2011,13,24,37,0.351351351351351,"mask_uga_grid_1","2011_mask_uga_grid_1"
2013,16,59,75,0.213333333333333,"mask_uga_grid_1","2013_mask_uga_grid_1"
2014,15,57,72,0.208333333333333,"mask_uga_grid_1","2014_mask_uga_grid_1"
2004,0,3,3,0,"mask_uga_grid_10","2004_mask_uga_grid_10"
2010,0,2,2,0,"mask_uga_grid_10","2010_mask_uga_grid_10"
2013,2,4,6,0.333333333333333,"mask_uga_grid_10","2013_mask_uga_grid_10"
2014,3,1,4,0.75,"mask_uga_grid_10","2014_mask_uga_grid_10"
2004,0,82,82,0,"mask_uga_grid_11","2004_mask_uga_grid_11"
2005,4,32,36,0.111111111111111,"mask_uga_grid_11","2005_mask_uga_grid_11"
2006,27,53,80,0.3375,"mask_uga_grid_11","2006_mask_uga_grid_11"
2007,36,19,55,0.654545454545455,"mask_uga_grid_11","2007_mask_uga_grid_11"
2008,35,14,49,0.714285714285714,"mask_uga_grid_11","2008_mask_uga_grid_11"
2009,47,15,62,0.758064516129032,"mask_uga_grid_11","2009_mask_uga_grid_11"
2010,68,28,96,0.708333333333333,"mask_uga_grid_11","2010_mask_uga_grid_11"
2011,69,18,87,0.793103448275862,"mask_uga_grid_11","2011_mask_uga_grid_11"
2012,63,18,81,0.777777777777778,"mask_uga_grid_11","2012_mask_uga_grid_11"
2013,83,48,131,0.633587786259542,"mask_uga_grid_11","2013_mask_uga_grid_11"
2014,56,44,100,0.56,"mask_uga_grid_11","2014_mask_uga_grid_11"
2015,26,27,53,0.490566037735849,"mask_uga_grid_11","2015_mask_uga_grid_11"
2017,57,10,67,0.850746268656716,"mask_uga_grid_11","2017_mask_uga_grid_11"
2004,0,39,39,0,"mask_uga_grid_12","2004_mask_uga_grid_12"
2005,0,44,44,0,"mask_uga_grid_12","2005_mask_uga_grid_12"
2006,0,20,20,0,"mask_uga_grid_12","2006_mask_uga_grid_12"
2007,7,12,19,0.368421052631579,"mask_uga_grid_12","2007_mask_uga_grid_12"
2008,3,44,47,0.0638297872340425,"mask_uga_grid_12","2008_mask_uga_grid_12"
2009,18,19,37,0.486486486486487,"mask_uga_grid_12","2009_mask_uga_grid_12"
2010,32,23,55,0.581818181818182,"mask_uga_grid_12","2010_mask_uga_grid_12"
2011,53,8,61,0.868852459016393,"mask_uga_grid_12","2011_mask_uga_grid_12"
2012,39,15,54,0.722222222222222,"mask_uga_grid_12","2012_mask_uga_grid_12"
2013,46,34,80,0.575,"mask_uga_grid_12","2013_mask_uga_grid_12"
2014,41,43,84,0.488095238095238,"mask_uga_grid_12","2014_mask_uga_grid_12"
2015,31,28,59,0.525423728813559,"mask_uga_grid_12","2015_mask_uga_grid_12"
2017,41,8,49,0.836734693877551,"mask_uga_grid_12","2017_mask_uga_grid_12"
2004,0,28,28,0,"mask_uga_grid_13","2004_mask_uga_grid_13"
2005,0,49,49,0,"mask_uga_grid_13","2005_mask_uga_grid_13"
2007,0,21,21,0,"mask_uga_grid_13","2007_mask_uga_grid_13"
2008,0,42,42,0,"mask_uga_grid_13","2008_mask_uga_grid_13"
2009,0,9,9,0,"mask_uga_grid_13","2009_mask_uga_grid_13"
2010,4,32,36,0.111111111111111,"mask_uga_grid_13","2010_mask_uga_grid_13"
2011,3,29,32,0.09375,"mask_uga_grid_13","2011_mask_uga_grid_13"
2012,6,12,18,0.333333333333333,"mask_uga_grid_13","2012_mask_uga_grid_13"
2013,6,31,37,0.162162162162162,"mask_uga_grid_13","2013_mask_uga_grid_13"
2014,12,55,67,0.17910447761194,"mask_uga_grid_13","2014_mask_uga_grid_13"
2015,9,10,19,0.473684210526316,"mask_uga_grid_13","2015_mask_uga_grid_13"
2017,6,9,15,0.4,"mask_uga_grid_13","2017_mask_uga_grid_13"
2008,0,14,14,0,"mask_uga_grid_14","2008_mask_uga_grid_14"
2010,7,24,31,0.225806451612903,"mask_uga_grid_14","2010_mask_uga_grid_14"
2011,3,23,26,0.115384615384615,"mask_uga_grid_14","2011_mask_uga_grid_14"
2012,3,7,10,0.3,"mask_uga_grid_14","2012_mask_uga_grid_14"
2013,6,26,32,0.1875,"mask_uga_grid_14","2013_mask_uga_grid_14"
2014,23,11,34,0.676470588235294,"mask_uga_grid_14","2014_mask_uga_grid_14"
2004,0,49,49,0,"mask_uga_grid_16","2004_mask_uga_grid_16"
2005,2,14,16,0.125,"mask_uga_grid_16","2005_mask_uga_grid_16"
2006,3,19,22,0.136363636363636,"mask_uga_grid_16","2006_mask_uga_grid_16"
2007,10,9,19,0.526315789473684,"mask_uga_grid_16","2007_mask_uga_grid_16"
2008,10,16,26,0.384615384615385,"mask_uga_grid_16","2008_mask_uga_grid_16"
2009,41,19,60,0.683333333333333,"mask_uga_grid_16","2009_mask_uga_grid_16"
2010,65,9,74,0.878378378378378,"mask_uga_grid_16","2010_mask_uga_grid_16"
2011,71,6,77,0.922077922077922,"mask_uga_grid_16","2011_mask_uga_grid_16"
2012,24,2,26,0.923076923076923,"mask_uga_grid_16","2012_mask_uga_grid_16"
2013,111,20,131,0.847328244274809,"mask_uga_grid_16","2013_mask_uga_grid_16"
2014,70,9,79,0.886075949367089,"mask_uga_grid_16","2014_mask_uga_grid_16"
2015,52,11,63,0.825396825396825,"mask_uga_grid_16","2015_mask_uga_grid_16"
