"year","x","y","cbsd","vector","dataset","country","unqId","countryCode"
2004,31.41817,-0.9796667,0,0.466666667,"A","Uganda",NA,"UGA"
2004,31.6815,-0.9441667,0,22.13333333,"A","Uganda",NA,"UGA"
2004,31.64367,-0.9163333,0,0.4,"A","Uganda",NA,"UGA"
2004,31.7195,-0.8978333,0,1.2,"A","Uganda",NA,"UGA"
2004,31.45417,-0.8893333,0,14.86666667,"A","Uganda",NA,"UGA"
2004,31.35617,-0.8638333,0,14.2,"A","Uganda",NA,"UGA"
2004,31.49717,-0.8316667,0,4,"A","Uganda",NA,"UGA"
2004,31.51333,-0.8201667,0,2.466666667,"A","Uganda",NA,"UGA"
2004,31.31983,-0.772,0,1.2,"A","Uganda",NA,"UGA"
2004,31.35933,-0.7641667,0,0.733333333,"A","Uganda",NA,"UGA"
2004,31.2895,-0.7573333,0,0.533333333,"A","Uganda",NA,"UGA"
2004,31.39483,-0.7513333,0,0.866666667,"A","Uganda",NA,"UGA"
2004,31.50867,-0.7441667,0,2.933333333,"A","Uganda",NA,"UGA"
2004,31.52367,-0.6946667,0,0.066666667,"A","Uganda",NA,"UGA"
2004,30.03533,-0.6893333,0,0.466666667,"A","Uganda",NA,"UGA"
2004,31.47983,-0.6795,0,0.533333333,"A","Uganda",NA,"UGA"
2004,30.12667,-0.6745,0,1.6,"A","Uganda",NA,"UGA"
2004,31.39783,-0.6646667,0,50.4,"A","Uganda",NA,"UGA"
2004,30.02917,-0.6583333,0,1.066666667,"A","Uganda",NA,"UGA"
2004,31.326,-0.6498333,0,2.8,"A","Uganda",NA,"UGA"
2004,30.0355,-0.6256667,0,4.066666667,"A","Uganda",NA,"UGA"
2004,29.9845,-0.6241667,0,4.466666667,"A","Uganda",NA,"UGA"
2004,30.05817,-0.6126667,0,31.26666667,"A","Uganda",NA,"UGA"
2004,31.52783,-0.6126667,0,73.13333333,"A","Uganda",NA,"UGA"
2004,29.9525,-0.6115,0,0.066666667,"A","Uganda",NA,"UGA"
