"Y","X","numRealSurveysInCell"
410,457,1
411,438,1
412,441,1
412,489,1
412,504,1
413,400,1
413,519,1
415,399,1
415,410,1
416,417,1
417,416,1
417,498,1
418,432,1
418,520,1
419,483,1
419,506,1
420,401,1
420,419,1
420,456,1
420,513,1
423,394,1
423,402,1
423,418,1
424,401,1
424,405,1
425,417,1
426,398,1
426,407,1
426,462,1
428,414,1
428,477,1
428,508,1
430,418,1
431,408,1
431,467,1
431,483,1
431,489,1
431,490,1
432,495,1
433,415,1
433,505,1
433,508,1
433,510,1
434,420,1
434,475,1
434,499,1
434,513,1
434,520,1
435,418,1
435,481,1
435,484,1
435,500,1
435,504,1
437,413,1
438,512,1
438,515,1
439,503,1
440,494,1
440,500,1
440,502,1
440,506,1
441,479,1
441,496,1
441,513,1
442,420,1
442,473,1
443,463,1
443,508,1
443,517,1
444,415,1
444,461,1
444,516,1
445,473,1
445,501,1
445,505,1
445,508,1
446,476,1
446,496,1
447,464,1
447,477,1
447,499,1
448,512,1
450,470,1
450,498,1
450,508,1
450,517,1
451,466,1
451,478,1
451,481,1
451,483,1
451,491,1
451,506,1
452,471,1
453,462,1
454,486,1
454,514,1
455,483,1
456,468,1
456,470,1
456,474,1
456,510,1
457,485,1
457,492,1
457,509,1
458,461,1
458,480,1
459,464,1
459,476,1
460,393,1
460,397,1
460,496,1
461,399,1
461,407,1
462,497,1
463,478,1
463,479,1
463,485,1
465,491,1
465,522,1
466,477,1
466,496,1
466,498,1
467,476,1
472,406,1
473,411,1
474,398,1
476,402,1
477,408,1
479,393,1
