"Y","X","numRealSurveysInCell"
375,400,1
376,344,1
378,351,1
379,348,1
380,350,1
380,396,1
386,414,1
386,429,1
389,400,1
389,421,1
390,375,1
392,350,1
392,420,1
395,426,1
396,356,1
396,432,1
398,373,1
398,397,1
399,424,1
400,352,1
401,438,1
405,399,1
405,419,1
406,370,1
406,374,1
407,438,1
408,401,1
409,430,1
410,373,1
411,355,1
411,365,1
413,405,1
414,361,1
416,406,1
417,424,1
417,432,1
417,439,1
418,357,1
418,376,1
420,405,1
422,414,1
423,401,1
424,353,1
424,377,1
424,405,1
425,394,1
426,397,1
427,412,1
428,371,1
429,357,1
429,413,1
433,368,1
434,415,1
435,418,1
438,370,1
439,374,1
439,384,1
439,418,1
439,420,1
440,370,1
441,343,1
441,387,1
443,348,1
443,362,1
443,372,1
443,384,1
443,390,1
444,328,1
444,338,1
444,420,1
445,358,1
445,379,1
446,332,1
446,370,1
447,392,1
448,377,1
449,326,1
449,374,1
451,372,1
451,397,1
452,355,1
453,400,1
454,332,1
454,389,1
455,345,1
456,339,1
456,386,1
456,393,1
457,352,1
459,378,1
461,398,1
466,385,1
469,394,1
471,391,1
479,393,1
